t;x;theta
0.3071;0.3071;2.82337
0.3072;0.3072;2.82207
0.3073;0.3073;2.82076
0.3074;0.3074;2.81946
0.3075;0.3075;2.81815
0.3076;0.3076;2.81685
0.3077;0.3077;2.81554
0.3078;0.3078;2.81424
0.3079;0.3079;2.81293
0.308;0.308;2.81162
0.3081;0.3081;2.81032
0.3082;0.3082;2.80901
0.3083;0.3083;2.8077
0.3084;0.3084;2.80639
0.3085;0.3085;2.80508
0.3086;0.3086;2.80378
0.3087;0.3087;2.80247
0.3088;0.3088;2.80116
0.3089;0.3089;2.79985
0.309;0.309;2.79854
0.3091;0.3091;2.79723
0.3092;0.3092;2.79592
0.3093;0.3093;2.79461
0.3094;0.3094;2.7933
0.3095;0.3095;2.79199
0.3096;0.3096;2.79068
0.3097;0.3097;2.78936
0.3098;0.3098;2.78805
0.3099;0.3099;2.78674
0.31;0.31;2.78543
0.3101;0.3101;2.78412
0.3102;0.3102;2.7828
0.3103;0.3103;2.78149
0.3104;0.3104;2.78018
0.3105;0.3105;2.77886
0.3106;0.3106;2.77755
0.3107;0.3107;2.77623
0.3108;0.3108;2.77492
0.3109;0.3109;2.7736
0.311;0.311;2.77229
0.3111;0.3111;2.77097
0.3112;0.3112;2.76966
0.3113;0.3113;2.76834
0.3114;0.3114;2.76703
0.3115;0.3115;2.76571
0.3116;0.3116;2.76439
0.3117;0.3117;2.76307
0.3118;0.3118;2.76176
0.3119;0.3119;2.76044
0.312;0.312;2.75912
0.3121;0.3121;2.7578
0.3122;0.3122;2.75649
0.3123;0.3123;2.75517
0.3124;0.3124;2.75385
0.3125;0.3125;2.75253
0.3126;0.3126;2.75121
0.3127;0.3127;2.74989
0.3128;0.3128;2.74857
0.3129;0.3129;2.74725
0.313;0.313;2.74593
0.3131;0.3131;2.74461
0.3132;0.3132;2.74329
0.3133;0.3133;2.74196
0.3134;0.3134;2.74064
0.3135;0.3135;2.73932
0.3136;0.3136;2.738
0.3137;0.3137;2.73668
0.3138;0.3138;2.73535
0.3139;0.3139;2.73403
0.314;0.314;2.73271
0.3141;0.3141;2.73138
0.3142;0.3142;2.73006
0.3143;0.3143;2.72873
0.3144;0.3144;2.72741
0.3145;0.3145;2.72608
0.3146;0.3146;2.72476
0.3147;0.3147;2.72343
0.3148;0.3148;2.72211
0.3149;0.3149;2.72078
0.315;0.315;2.71946
0.3151;0.3151;2.71813
0.3152;0.3152;2.7168
0.3153;0.3153;2.71548
0.3154;0.3154;2.71415
0.3155;0.3155;2.71282
0.3156;0.3156;2.71149
0.3157;0.3157;2.71017
0.3158;0.3158;2.70884
0.3159;0.3159;2.70751
0.316;0.316;2.70618
0.3161;0.3161;2.70485
0.3162;0.3162;2.70352
0.3163;0.3163;2.70219
0.3164;0.3164;2.70086
0.3165;0.3165;2.69953
0.3166;0.3166;2.6982
0.3167;0.3167;2.69687
0.3168;0.3168;2.69554
0.3169;0.3169;2.69421
0.317;0.317;2.69288
0.3171;0.3171;2.69155
0.3172;0.3172;2.69021
0.3173;0.3173;2.68888
0.3174;0.3174;2.68755
0.3175;0.3175;2.68622
0.3176;0.3176;2.68488
0.3177;0.3177;2.68355
0.3178;0.3178;2.68221
0.3179;0.3179;2.68088
0.318;0.318;2.67955
0.3181;0.3181;2.67821
0.3182;0.3182;2.67688
0.3183;0.3183;2.67554
0.3184;0.3184;2.67421
0.3185;0.3185;2.67287
0.3186;0.3186;2.67154
0.3187;0.3187;2.6702
0.3188;0.3188;2.66886
0.3189;0.3189;2.66753
0.319;0.319;2.66619
0.3191;0.3191;2.66485
0.3192;0.3192;2.66351
0.3193;0.3193;2.66218
0.3194;0.3194;2.66084
0.3195;0.3195;2.6595
0.3196;0.3196;2.65816
0.3197;0.3197;2.65682
0.3198;0.3198;2.65548
0.3199;0.3199;2.65415
0.32;0.32;2.65281
0.3201;0.3201;2.65147
0.3202;0.3202;2.65013
0.3203;0.3203;2.64879
0.3204;0.3204;2.64744
0.3205;0.3205;2.6461
0.3206;0.3206;2.64476
0.3207;0.3207;2.64342
0.3208;0.3208;2.64208
0.3209;0.3209;2.64074
0.321;0.321;2.6394
0.3211;0.3211;2.63805
0.3212;0.3212;2.63671
0.3213;0.3213;2.63537
0.3214;0.3214;2.63402
0.3215;0.3215;2.63268
0.3216;0.3216;2.63134
0.3217;0.3217;2.62999
0.3218;0.3218;2.62865
0.3219;0.3219;2.6273
0.322;0.322;2.62596
0.3221;0.3221;2.62461
0.3222;0.3222;2.62327
0.3223;0.3223;2.62192
0.3224;0.3224;2.62058
0.3225;0.3225;2.61923
0.3226;0.3226;2.61788
0.3227;0.3227;2.61654
0.3228;0.3228;2.61519
0.3229;0.3229;2.61384
0.323;0.323;2.6125
0.3231;0.3231;2.61115
0.3232;0.3232;2.6098
0.3233;0.3233;2.60845
0.3234;0.3234;2.6071
0.3235;0.3235;2.60575
0.3236;0.3236;2.60441
0.3237;0.3237;2.60306
0.3238;0.3238;2.60171
0.3239;0.3239;2.60036
0.324;0.324;2.59901
0.3241;0.3241;2.59766
0.3242;0.3242;2.59631
0.3243;0.3243;2.59496
0.3244;0.3244;2.5936
0.3245;0.3245;2.59225
0.3246;0.3246;2.5909
0.3247;0.3247;2.58955
0.3248;0.3248;2.5882
0.3249;0.3249;2.58684
0.325;0.325;2.58549
0.3251;0.3251;2.58414
0.3252;0.3252;2.58279
0.3253;0.3253;2.58143
0.3254;0.3254;2.58008
0.3255;0.3255;2.57872
0.3256;0.3256;2.57737
0.3257;0.3257;2.57602
0.3258;0.3258;2.57466
0.3259;0.3259;2.57331
0.326;0.326;2.57195
0.3261;0.3261;2.5706
0.3262;0.3262;2.56924
0.3263;0.3263;2.56788
0.3264;0.3264;2.56653
0.3265;0.3265;2.56517
0.3266;0.3266;2.56381
0.3267;0.3267;2.56246
0.3268;0.3268;2.5611
0.3269;0.3269;2.55974
0.327;0.327;2.55838
0.3271;0.3271;2.55703
0.3272;0.3272;2.55567
0.3273;0.3273;2.55431
0.3274;0.3274;2.55295
0.3275;0.3275;2.55159
0.3276;0.3276;2.55023
0.3277;0.3277;2.54887
0.3278;0.3278;2.54751
0.3279;0.3279;2.54615
0.328;0.328;2.54479
0.3281;0.3281;2.54343
0.3282;0.3282;2.54207
0.3283;0.3283;2.54071
0.3284;0.3284;2.53935
0.3285;0.3285;2.53799
0.3286;0.3286;2.53662
0.3287;0.3287;2.53526
0.3288;0.3288;2.5339
0.3289;0.3289;2.53254
0.329;0.329;2.53117
0.3291;0.3291;2.52981
0.3292;0.3292;2.52845
0.3293;0.3293;2.52708
0.3294;0.3294;2.52572
0.3295;0.3295;2.52436
0.3296;0.3296;2.52299
0.3297;0.3297;2.52163
0.3298;0.3298;2.52026
0.3299;0.3299;2.5189
0.33;0.33;2.51753
0.3301;0.3301;2.51617
0.3302;0.3302;2.5148
0.3303;0.3303;2.51343
0.3304;0.3304;2.51207
0.3305;0.3305;2.5107
0.3306;0.3306;2.50933
0.3307;0.3307;2.50797
0.3308;0.3308;2.5066
0.3309;0.3309;2.50523
0.331;0.331;2.50386
0.3311;0.3311;2.5025
0.3312;0.3312;2.50113
0.3313;0.3313;2.49976
0.3314;0.3314;2.49839
0.3315;0.3315;2.49702
0.3316;0.3316;2.49565
0.3317;0.3317;2.49428
0.3318;0.3318;2.49291
0.3319;0.3319;2.49154
0.332;0.332;2.49017
0.3321;0.3321;2.4888
0.3322;0.3322;2.48743
0.3323;0.3323;2.48606
0.3324;0.3324;2.48469
0.3325;0.3325;2.48332
0.3326;0.3326;2.48194
0.3327;0.3327;2.48057
0.3328;0.3328;2.4792
0.3329;0.3329;2.47783
0.333;0.333;2.47645
0.3331;0.3331;2.47508
0.3332;0.3332;2.47371
0.3333;0.3333;2.47233
0.3334;0.3334;2.47096
0.3335;0.3335;2.46958
0.3336;0.3336;2.46821
0.3337;0.3337;2.46684
0.3338;0.3338;2.46546
0.3339;0.3339;2.46409
0.334;0.334;2.46271
0.3341;0.3341;2.46133
0.3342;0.3342;2.45996
0.3343;0.3343;2.45858
0.3344;0.3344;2.45721
0.3345;0.3345;2.45583
0.3346;0.3346;2.45445
0.3347;0.3347;2.45308
0.3348;0.3348;2.4517
0.3349;0.3349;2.45032
0.335;0.335;2.44894
0.3351;0.3351;2.44756
0.3352;0.3352;2.44619
0.3353;0.3353;2.44481
0.3354;0.3354;2.44343
0.3355;0.3355;2.44205
0.3356;0.3356;2.44067
0.3357;0.3357;2.43929
0.3358;0.3358;2.43791
0.3359;0.3359;2.43653
0.336;0.336;2.43515
0.3361;0.3361;2.43377
0.3362;0.3362;2.43239
0.3363;0.3363;2.43101
0.3364;0.3364;2.42963
0.3365;0.3365;2.42825
0.3366;0.3366;2.42686
0.3367;0.3367;2.42548
0.3368;0.3368;2.4241
0.3369;0.3369;2.42272
0.337;0.337;2.42133
0.3371;0.3371;2.41995
0.3372;0.3372;2.41857
0.3373;0.3373;2.41719
0.3374;0.3374;2.4158
0.3375;0.3375;2.41442
0.3376;0.3376;2.41303
0.3377;0.3377;2.41165
0.3378;0.3378;2.41026
0.3379;0.3379;2.40888
0.338;0.338;2.40749
0.3381;0.3381;2.40611
0.3382;0.3382;2.40472
0.3383;0.3383;2.40334
0.3384;0.3384;2.40195
0.3385;0.3385;2.40057
0.3386;0.3386;2.39918
0.3387;0.3387;2.39779
0.3388;0.3388;2.3964
0.3389;0.3389;2.39502
0.339;0.339;2.39363
0.3391;0.3391;2.39224
0.3392;0.3392;2.39085
0.3393;0.3393;2.38947
0.3394;0.3394;2.38808
0.3395;0.3395;2.38669
0.3396;0.3396;2.3853
0.3397;0.3397;2.38391
0.3398;0.3398;2.38252
0.3399;0.3399;2.38113
0.34;0.34;2.37974
0.3401;0.3401;2.37835
0.3402;0.3402;2.37696
0.3403;0.3403;2.37557
0.3404;0.3404;2.37418
0.3405;0.3405;2.37279
0.3406;0.3406;2.3714
0.3407;0.3407;2.37001
0.3408;0.3408;2.36861
0.3409;0.3409;2.36722
0.341;0.341;2.36583
0.3411;0.3411;2.36444
0.3412;0.3412;2.36304
0.3413;0.3413;2.36165
0.3414;0.3414;2.36026
0.3415;0.3415;2.35886
0.3416;0.3416;2.35747
0.3417;0.3417;2.35608
0.3418;0.3418;2.35468
0.3419;0.3419;2.35329
0.342;0.342;2.35189
0.3421;0.3421;2.3505
0.3422;0.3422;2.3491
0.3423;0.3423;2.34771
0.3424;0.3424;2.34631
0.3425;0.3425;2.34492
0.3426;0.3426;2.34352
0.3427;0.3427;2.34212
0.3428;0.3428;2.34073
0.3429;0.3429;2.33933
0.343;0.343;2.33793
0.3431;0.3431;2.33654
0.3432;0.3432;2.33514
0.3433;0.3433;2.33374
0.3434;0.3434;2.33234
0.3435;0.3435;2.33095
0.3436;0.3436;2.32955
0.3437;0.3437;2.32815
0.3438;0.3438;2.32675
0.3439;0.3439;2.32535
0.344;0.344;2.32395
0.3441;0.3441;2.32255
0.3442;0.3442;2.32115
0.3443;0.3443;2.31975
0.3444;0.3444;2.31835
0.3445;0.3445;2.31695
0.3446;0.3446;2.31555
0.3447;0.3447;2.31415
0.3448;0.3448;2.31275
0.3449;0.3449;2.31135
0.345;0.345;2.30995
0.3451;0.3451;2.30854
0.3452;0.3452;2.30714
0.3453;0.3453;2.30574
0.3454;0.3454;2.30434
0.3455;0.3455;2.30293
0.3456;0.3456;2.30153
0.3457;0.3457;2.30013
0.3458;0.3458;2.29872
0.3459;0.3459;2.29732
0.346;0.346;2.29592
0.3461;0.3461;2.29451
0.3462;0.3462;2.29311
0.3463;0.3463;2.2917
0.3464;0.3464;2.2903
0.3465;0.3465;2.28889
0.3466;0.3466;2.28749
0.3467;0.3467;2.28608
0.3468;0.3468;2.28468
0.3469;0.3469;2.28327
0.347;0.347;2.28186
0.3471;0.3471;2.28046
0.3472;0.3472;2.27905
0.3473;0.3473;2.27764
0.3474;0.3474;2.27624
0.3475;0.3475;2.27483
0.3476;0.3476;2.27342
0.3477;0.3477;2.27201
0.3478;0.3478;2.27061
0.3479;0.3479;2.2692
0.348;0.348;2.26779
0.3481;0.3481;2.26638
0.3482;0.3482;2.26497
0.3483;0.3483;2.26356
0.3484;0.3484;2.26215
0.3485;0.3485;2.26074
0.3486;0.3486;2.25933
0.3487;0.3487;2.25792
0.3488;0.3488;2.25651
0.3489;0.3489;2.2551
0.349;0.349;2.25369
0.3491;0.3491;2.25228
0.3492;0.3492;2.25087
0.3493;0.3493;2.24946
0.3494;0.3494;2.24805
0.3495;0.3495;2.24664
0.3496;0.3496;2.24522
0.3497;0.3497;2.24381
0.3498;0.3498;2.2424
0.3499;0.3499;2.24099
0.35;0.35;2.23957
0.3501;0.3501;2.23816
0.3502;0.3502;2.23675
0.3503;0.3503;2.23533
0.3504;0.3504;2.23392
0.3505;0.3505;2.2325
0.3506;0.3506;2.23109
0.3507;0.3507;2.22968
0.3508;0.3508;2.22826
0.3509;0.3509;2.22685
0.351;0.351;2.22543
0.3511;0.3511;2.22401
0.3512;0.3512;2.2226
0.3513;0.3513;2.22118
0.3514;0.3514;2.21977
0.3515;0.3515;2.21835
0.3516;0.3516;2.21693
0.3517;0.3517;2.21552
0.3518;0.3518;2.2141
0.3519;0.3519;2.21268
0.352;0.352;2.21127
0.3521;0.3521;2.20985
0.3522;0.3522;2.20843
0.3523;0.3523;2.20701
0.3524;0.3524;2.20559
0.3525;0.3525;2.20418
0.3526;0.3526;2.20276
0.3527;0.3527;2.20134
0.3528;0.3528;2.19992
0.3529;0.3529;2.1985
0.353;0.353;2.19708
0.3531;0.3531;2.19566
0.3532;0.3532;2.19424
0.3533;0.3533;2.19282
0.3534;0.3534;2.1914
0.3535;0.3535;2.18998
0.3536;0.3536;2.18856
0.3537;0.3537;2.18714
0.3538;0.3538;2.18571
0.3539;0.3539;2.18429
0.354;0.354;2.18287
0.3541;0.3541;2.18145
0.3542;0.3542;2.18003
0.3543;0.3543;2.1786
0.3544;0.3544;2.17718
0.3545;0.3545;2.17576
0.3546;0.3546;2.17433
0.3547;0.3547;2.17291
0.3548;0.3548;2.17149
0.3549;0.3549;2.17006
0.355;0.355;2.16864
0.3551;0.3551;2.16722
0.3552;0.3552;2.16579
0.3553;0.3553;2.16437
0.3554;0.3554;2.16294
0.3555;0.3555;2.16152
0.3556;0.3556;2.16009
0.3557;0.3557;2.15867
0.3558;0.3558;2.15724
0.3559;0.3559;2.15581
0.356;0.356;2.15439
0.3561;0.3561;2.15296
0.3562;0.3562;2.15153
0.3563;0.3563;2.15011
0.3564;0.3564;2.14868
0.3565;0.3565;2.14725
0.3566;0.3566;2.14583
0.3567;0.3567;2.1444
0.3568;0.3568;2.14297
0.3569;0.3569;2.14154
0.357;0.357;2.14011
0.3571;0.3571;2.13869
0.3572;0.3572;2.13726
0.3573;0.3573;2.13583
0.3574;0.3574;2.1344
0.3575;0.3575;2.13297
0.3576;0.3576;2.13154
0.3577;0.3577;2.13011
0.3578;0.3578;2.12868
0.3579;0.3579;2.12725
0.358;0.358;2.12582
0.3581;0.3581;2.12439
0.3582;0.3582;2.12296
0.3583;0.3583;2.12153
0.3584;0.3584;2.12009
0.3585;0.3585;2.11866
0.3586;0.3586;2.11723
0.3587;0.3587;2.1158
0.3588;0.3588;2.11437
0.3589;0.3589;2.11293
0.359;0.359;2.1115
0.3591;0.3591;2.11007
0.3592;0.3592;2.10864
0.3593;0.3593;2.1072
0.3594;0.3594;2.10577
0.3595;0.3595;2.10434
0.3596;0.3596;2.1029
0.3597;0.3597;2.10147
0.3598;0.3598;2.10003
0.3599;0.3599;2.0986
0.36;0.36;2.09716
0.3601;0.3601;2.09573
0.3602;0.3602;2.09429
0.3603;0.3603;2.09286
0.3604;0.3604;2.09142
0.3605;0.3605;2.08999
0.3606;0.3606;2.08855
0.3607;0.3607;2.08712
0.3608;0.3608;2.08568
0.3609;0.3609;2.08424
0.361;0.361;2.08281
0.3611;0.3611;2.08137
0.3612;0.3612;2.07993
0.3613;0.3613;2.07849
0.3614;0.3614;2.07706
0.3615;0.3615;2.07562
0.3616;0.3616;2.07418
0.3617;0.3617;2.07274
0.3618;0.3618;2.0713
0.3619;0.3619;2.06987
0.362;0.362;2.06843
0.3621;0.3621;2.06699
0.3622;0.3622;2.06555
0.3623;0.3623;2.06411
0.3624;0.3624;2.06267
0.3625;0.3625;2.06123
0.3626;0.3626;2.05979
0.3627;0.3627;2.05835
0.3628;0.3628;2.05691
0.3629;0.3629;2.05547
0.363;0.363;2.05403
0.3631;0.3631;2.05259
0.3632;0.3632;2.05114
0.3633;0.3633;2.0497
0.3634;0.3634;2.04826
0.3635;0.3635;2.04682
0.3636;0.3636;2.04538
0.3637;0.3637;2.04393
0.3638;0.3638;2.04249
0.3639;0.3639;2.04105
0.364;0.364;2.03961
0.3641;0.3641;2.03816
0.3642;0.3642;2.03672
0.3643;0.3643;2.03528
0.3644;0.3644;2.03383
0.3645;0.3645;2.03239
0.3646;0.3646;2.03094
0.3647;0.3647;2.0295
0.3648;0.3648;2.02806
0.3649;0.3649;2.02661
0.365;0.365;2.02517
0.3651;0.3651;2.02372
0.3652;0.3652;2.02228
0.3653;0.3653;2.02083
0.3654;0.3654;2.01938
0.3655;0.3655;2.01794
0.3656;0.3656;2.01649
0.3657;0.3657;2.01504
0.3658;0.3658;2.0136
0.3659;0.3659;2.01215
0.366;0.366;2.0107
0.3661;0.3661;2.00926
0.3662;0.3662;2.00781
0.3663;0.3663;2.00636
0.3664;0.3664;2.00491
0.3665;0.3665;2.00347
0.3666;0.3666;2.00202
0.3667;0.3667;2.00057
0.3668;0.3668;1.99912
0.3669;0.3669;1.99767
0.367;0.367;1.99622
0.3671;0.3671;1.99477
0.3672;0.3672;1.99332
0.3673;0.3673;1.99188
0.3674;0.3674;1.99043
0.3675;0.3675;1.98898
0.3676;0.3676;1.98752
0.3677;0.3677;1.98607
0.3678;0.3678;1.98462
0.3679;0.3679;1.98317
0.368;0.368;1.98172
0.3681;0.3681;1.98027
0.3682;0.3682;1.97882
0.3683;0.3683;1.97737
0.3684;0.3684;1.97592
0.3685;0.3685;1.97446
0.3686;0.3686;1.97301
0.3687;0.3687;1.97156
0.3688;0.3688;1.97011
0.3689;0.3689;1.96865
0.369;0.369;1.9672
0.3691;0.3691;1.96575
0.3692;0.3692;1.96429
0.3693;0.3693;1.96284
0.3694;0.3694;1.96139
0.3695;0.3695;1.95993
0.3696;0.3696;1.95848
0.3697;0.3697;1.95702
0.3698;0.3698;1.95557
0.3699;0.3699;1.95412
0.37;0.37;1.95266
0.3701;0.3701;1.95121
0.3702;0.3702;1.94975
0.3703;0.3703;1.94829
0.3704;0.3704;1.94684
0.3705;0.3705;1.94538
0.3706;0.3706;1.94393
0.3707;0.3707;1.94247
0.3708;0.3708;1.94101
0.3709;0.3709;1.93956
0.371;0.371;1.9381
0.3711;0.3711;1.93664
0.3712;0.3712;1.93519
0.3713;0.3713;1.93373
0.3714;0.3714;1.93227
0.3715;0.3715;1.93081
0.3716;0.3716;1.92935
0.3717;0.3717;1.9279
0.3718;0.3718;1.92644
0.3719;0.3719;1.92498
0.372;0.372;1.92352
0.3721;0.3721;1.92206
0.3722;0.3722;1.9206
0.3723;0.3723;1.91914
0.3724;0.3724;1.91768
0.3725;0.3725;1.91622
0.3726;0.3726;1.91476
0.3727;0.3727;1.9133
0.3728;0.3728;1.91184
0.3729;0.3729;1.91038
0.373;0.373;1.90892
0.3731;0.3731;1.90746
0.3732;0.3732;1.906
0.3733;0.3733;1.90454
0.3734;0.3734;1.90308
0.3735;0.3735;1.90162
0.3736;0.3736;1.90015
0.3737;0.3737;1.89869
0.3738;0.3738;1.89723
0.3739;0.3739;1.89577
0.374;0.374;1.8943
0.3741;0.3741;1.89284
0.3742;0.3742;1.89138
0.3743;0.3743;1.88991
0.3744;0.3744;1.88845
0.3745;0.3745;1.88699
0.3746;0.3746;1.88552
0.3747;0.3747;1.88406
0.3748;0.3748;1.8826
0.3749;0.3749;1.88113
0.375;0.375;1.87967
0.3751;0.3751;1.8782
0.3752;0.3752;1.87674
0.3753;0.3753;1.87527
0.3754;0.3754;1.87381
0.3755;0.3755;1.87234
0.3756;0.3756;1.87088
0.3757;0.3757;1.86941
0.3758;0.3758;1.86794
0.3759;0.3759;1.86648
0.376;0.376;1.86501
0.3761;0.3761;1.86354
0.3762;0.3762;1.86208
0.3763;0.3763;1.86061
0.3764;0.3764;1.85914
0.3765;0.3765;1.85768
0.3766;0.3766;1.85621
0.3767;0.3767;1.85474
0.3768;0.3768;1.85327
0.3769;0.3769;1.85181
0.377;0.377;1.85034
0.3771;0.3771;1.84887
0.3772;0.3772;1.8474
0.3773;0.3773;1.84593
0.3774;0.3774;1.84446
0.3775;0.3775;1.84299
0.3776;0.3776;1.84152
0.3777;0.3777;1.84005
0.3778;0.3778;1.83858
0.3779;0.3779;1.83711
0.378;0.378;1.83564
0.3781;0.3781;1.83417
0.3782;0.3782;1.8327
0.3783;0.3783;1.83123
0.3784;0.3784;1.82976
0.3785;0.3785;1.82829
0.3786;0.3786;1.82682
0.3787;0.3787;1.82535
0.3788;0.3788;1.82388
0.3789;0.3789;1.82241
0.379;0.379;1.82093
0.3791;0.3791;1.81946
0.3792;0.3792;1.81799
0.3793;0.3793;1.81652
0.3794;0.3794;1.81504
0.3795;0.3795;1.81357
0.3796;0.3796;1.8121
0.3797;0.3797;1.81062
0.3798;0.3798;1.80915
0.3799;0.3799;1.80768
0.38;0.38;1.8062
0.3801;0.3801;1.80473
0.3802;0.3802;1.80326
0.3803;0.3803;1.80178
0.3804;0.3804;1.80031
0.3805;0.3805;1.79883
0.3806;0.3806;1.79736
0.3807;0.3807;1.79588
0.3808;0.3808;1.79441
0.3809;0.3809;1.79293
0.381;0.381;1.79146
0.3811;0.3811;1.78998
0.3812;0.3812;1.7885
0.3813;0.3813;1.78703
0.3814;0.3814;1.78555
0.3815;0.3815;1.78408
0.3816;0.3816;1.7826
0.3817;0.3817;1.78112
0.3818;0.3818;1.77965
0.3819;0.3819;1.77817
0.382;0.382;1.77669
0.3821;0.3821;1.77521
0.3822;0.3822;1.77374
0.3823;0.3823;1.77226
0.3824;0.3824;1.77078
0.3825;0.3825;1.7693
0.3826;0.3826;1.76782
0.3827;0.3827;1.76634
0.3828;0.3828;1.76487
0.3829;0.3829;1.76339
0.383;0.383;1.76191
0.3831;0.3831;1.76043
0.3832;0.3832;1.75895
0.3833;0.3833;1.75747
0.3834;0.3834;1.75599
0.3835;0.3835;1.75451
0.3836;0.3836;1.75303
0.3837;0.3837;1.75155
0.3838;0.3838;1.75007
0.3839;0.3839;1.74859
0.384;0.384;1.74711
0.3841;0.3841;1.74563
0.3842;0.3842;1.74415
0.3843;0.3843;1.74266
0.3844;0.3844;1.74118
0.3845;0.3845;1.7397
0.3846;0.3846;1.73822
0.3847;0.3847;1.73674
0.3848;0.3848;1.73525
0.3849;0.3849;1.73377
0.385;0.385;1.73229
0.3851;0.3851;1.73081
0.3852;0.3852;1.72932
0.3853;0.3853;1.72784
0.3854;0.3854;1.72636
0.3855;0.3855;1.72487
0.3856;0.3856;1.72339
0.3857;0.3857;1.72191
0.3858;0.3858;1.72042
0.3859;0.3859;1.71894
0.386;0.386;1.71745
0.3861;0.3861;1.71597
0.3862;0.3862;1.71448
0.3863;0.3863;1.713
0.3864;0.3864;1.71151
0.3865;0.3865;1.71003
0.3866;0.3866;1.70854
0.3867;0.3867;1.70706
0.3868;0.3868;1.70557
0.3869;0.3869;1.70409
0.387;0.387;1.7026
0.3871;0.3871;1.70111
0.3872;0.3872;1.69963
0.3873;0.3873;1.69814
0.3874;0.3874;1.69666
0.3875;0.3875;1.69517
0.3876;0.3876;1.69368
0.3877;0.3877;1.69219
0.3878;0.3878;1.69071
0.3879;0.3879;1.68922
0.388;0.388;1.68773
0.3881;0.3881;1.68624
0.3882;0.3882;1.68476
0.3883;0.3883;1.68327
0.3884;0.3884;1.68178
0.3885;0.3885;1.68029
0.3886;0.3886;1.6788
0.3887;0.3887;1.67731
0.3888;0.3888;1.67582
0.3889;0.3889;1.67433
0.389;0.389;1.67284
0.3891;0.3891;1.67136
0.3892;0.3892;1.66987
0.3893;0.3893;1.66838
0.3894;0.3894;1.66689
0.3895;0.3895;1.6654
0.3896;0.3896;1.6639
0.3897;0.3897;1.66241
0.3898;0.3898;1.66092
0.3899;0.3899;1.65943
0.39;0.39;1.65794
0.3901;0.3901;1.65645
0.3902;0.3902;1.65496
0.3903;0.3903;1.65347
0.3904;0.3904;1.65198
0.3905;0.3905;1.65048
0.3906;0.3906;1.64899
0.3907;0.3907;1.6475
0.3908;0.3908;1.64601
0.3909;0.3909;1.64451
0.391;0.391;1.64302
0.3911;0.3911;1.64153
0.3912;0.3912;1.64004
0.3913;0.3913;1.63854
0.3914;0.3914;1.63705
0.3915;0.3915;1.63556
0.3916;0.3916;1.63406
0.3917;0.3917;1.63257
0.3918;0.3918;1.63107
0.3919;0.3919;1.62958
0.392;0.392;1.62809
0.3921;0.3921;1.62659
0.3922;0.3922;1.6251
0.3923;0.3923;1.6236
0.3924;0.3924;1.62211
0.3925;0.3925;1.62061
0.3926;0.3926;1.61912
0.3927;0.3927;1.61762
0.3928;0.3928;1.61612
0.3929;0.3929;1.61463
0.393;0.393;1.61313
0.3931;0.3931;1.61164
0.3932;0.3932;1.61014
0.3933;0.3933;1.60864
0.3934;0.3934;1.60715
0.3935;0.3935;1.60565
0.3936;0.3936;1.60415
0.3937;0.3937;1.60266
0.3938;0.3938;1.60116
0.3939;0.3939;1.59966
0.394;0.394;1.59816
0.3941;0.3941;1.59667
0.3942;0.3942;1.59517
0.3943;0.3943;1.59367
0.3944;0.3944;1.59217
0.3945;0.3945;1.59067
0.3946;0.3946;1.58918
0.3947;0.3947;1.58768
0.3948;0.3948;1.58618
0.3949;0.3949;1.58468
0.395;0.395;1.58318
0.3951;0.3951;1.58168
0.3952;0.3952;1.58018
0.3953;0.3953;1.57868
0.3954;0.3954;1.57718
0.3955;0.3955;1.57568
0.3956;0.3956;1.57418
0.3957;0.3957;1.57268
0.3958;0.3958;1.57118
0.3959;0.3959;1.56968
0.396;0.396;1.56818
0.3961;0.3961;1.56668
0.3962;0.3962;1.56518
0.3963;0.3963;1.56368
0.3964;0.3964;1.56217
0.3965;0.3965;1.56067
0.3966;0.3966;1.55917
0.3967;0.3967;1.55767
0.3968;0.3968;1.55617
0.3969;0.3969;1.55467
0.397;0.397;1.55316
0.3971;0.3971;1.55166
0.3972;0.3972;1.55016
0.3973;0.3973;1.54865
0.3974;0.3974;1.54715
0.3975;0.3975;1.54565
0.3976;0.3976;1.54415
0.3977;0.3977;1.54264
0.3978;0.3978;1.54114
0.3979;0.3979;1.53963
0.398;0.398;1.53813
0.3981;0.3981;1.53663
0.3982;0.3982;1.53512
0.3983;0.3983;1.53362
0.3984;0.3984;1.53211
0.3985;0.3985;1.53061
0.3986;0.3986;1.5291
0.3987;0.3987;1.5276
0.3988;0.3988;1.52609
0.3989;0.3989;1.52459
0.399;0.399;1.52308
0.3991;0.3991;1.52158
0.3992;0.3992;1.52007
0.3993;0.3993;1.51857
0.3994;0.3994;1.51706
0.3995;0.3995;1.51555
0.3996;0.3996;1.51405
0.3997;0.3997;1.51254
0.3998;0.3998;1.51104
0.3999;0.3999;1.50953
0.4;0.4;1.50802
0.4001;0.4001;1.50651
0.4002;0.4002;1.50501
0.4003;0.4003;1.5035
0.4004;0.4004;1.50199
0.4005;0.4005;1.50048
0.4006;0.4006;1.49898
0.4007;0.4007;1.49747
0.4008;0.4008;1.49596
0.4009;0.4009;1.49445
0.401;0.401;1.49294
0.4011;0.4011;1.49144
0.4012;0.4012;1.48993
0.4013;0.4013;1.48842
0.4014;0.4014;1.48691
0.4015;0.4015;1.4854
